B02	Latitude	Longitude	B03	B04	B05	B06	B07	B08	B8A	B11	B12	class
741	33.90232958969465	35.50964104940375	727	151	360	98	334	151	544	1737	1619	Agua
662	33.90232958969465	35.50973094037479	983	125	275	72	341	125	498	1756	1619	Agua
793	33.90232958969465	35.50982083134583	1121	288	210	33	328	295	439	1756	1612	Agua
990	33.90232958969465	35.50991072231687	1075	446	236	20	301	406	393	1730	1606	Agua
1042	33.90232958969465	35.5100006132879	1009	406	295	13	275	301	354	1691	1593	Agua
963	33.90232958969465	35.51009050425894	1035	301	308	33	262	242	354	1691	1586	Agua
937	33.90232958969465	35.51018039522998	1167	452	288	72	256	315	374	1710	1593	Agua
911	33.90232958969465	35.51027028620102	1232	393	308	138	308	249	439	1769	1638	Agua
1029	33.90232958969465	35.51036017717206	1291	380	393	242	446	256	583	1887	1756	Agua
1298	33.90232958969465	35.5104500681431	1429	590	505	360	596	433	741	2012	1881	Agua
1671	33.90232958969465	35.51053995911414	1704	944	623	465	721	721	852	2097	1927	Agua
1966	33.90232958969465	35.51062985008518	2084	1134	747	557	826	950	944	2150	1933	Agua
800	33.90225511259542	35.50964104940375	983	223	190	0	125	92	374	1599	1520	Agua
917	33.90225511259542	35.50973094037479	1022	210	118	0	190	118	347	1593	1514	Agua
786	33.90225511259542	35.50982083134583	976	256	66	0	229	256	315	1593	1514	Agua
642	33.90225511259542	35.50991072231687	885	328	66	0	203	256	282	1599	1520	Agua
701	33.90225511259542	35.5100006132879	878	334	105	0	164	151	262	1619	1540	Agua
832	33.90225511259542	35.51009050425894	1035	229	157	0	170	334	282	1651	1553	Agua
1081	33.90225511259542	35.51018039522998	1186	498	236	26	203	433	341	1691	1579	Agua
996	33.90225511259542	35.51027028620102	1226	387	334	164	315	223	459	1776	1645	Agua
1186	33.90225511259542	35.51036017717206	1284	400	472	334	537	341	662	1933	1783	Agua
1527	33.90225511259542	35.5104500681431	1520	734	616	498	760	688	878	2091	1927	Agua
1756	33.90225511259542	35.51053995911414	1914	1180	767	629	931	983	1049	2209	2025	Agua
708	33.90218063549618	35.50964104940375	911	242	72	0	20	105	242	1527	1461	Agua
819	33.90218063549618	35.50973094037479	924	262	13	0	85	111	223	1514	1455	Agua
786	33.90218063549618	35.50982083134583	891	203	0	0	131	183	203	1507	1455	Agua
708	33.90218063549618	35.50991072231687	878	144	0	0	105	125	197	1534	1468	Agua
701	33.90218063549618	35.5100006132879	931	125	0	0	79	13	210	1573	1501	Agua
767	33.90218063549618	35.51009050425894	1062	118	72	0	125	190	269	1632	1547	Agua
1167	33.90218063549618	35.51018039522998	1088	387	223	46	223	321	360	1710	1606	Agua
1035	33.90218063549618	35.51027028620102	1239	387	393	249	400	223	524	1828	1704	Agua
1383	33.90218063549618	35.51036017717206	1501	682	596	465	695	590	793	2025	1868	Agua
1835	33.90218063549618	35.5104500681431	1802	1108	786	668	983	1022	1055	2215	2025	Agua
1999	33.90218063549618	35.51053995911414	2071	1370	950	800	1153	1180	1245	2346	2150	Agua
760	33.90210615839694	35.50955115843271	924	203	7	0	13	92	138	1534	1435	Agua
747	33.90210615839694	35.50964104940375	963	249	0	0	7	105	138	1534	1435	Agua
741	33.90210615839694	35.50973094037479	859	85	0	0	26	105	105	1514	1422	Agua
682	33.90210615839694	35.50982083134583	786	72	0	0	39	105	98	1507	1422	Agua
688	33.90210615839694	35.50991072231687	780	92	0	0	13	46	131	1520	1442	Agua
793	33.90210615839694	35.5100006132879	878	92	0	0	13	7	203	1560	1488	Agua
885	33.90210615839694	35.51009050425894	1062	170	59	0	131	190	308	1645	1573	Agua
1140	33.90210615839694	35.51018039522998	1003	387	262	138	321	301	446	1769	1691	Agua
970	33.90210615839694	35.51027028620102	1357	550	498	400	583	393	655	1940	1842	Agua
1691	33.90210615839694	35.51036017717206	1796	1114	800	668	963	911	996	2189	2025	Agua
2235	33.90210615839694	35.5104500681431	2123	1481	1062	885	1291	1357	1298	2412	2195	Agua
2136	33.90210615839694	35.51053995911414	2274	1455	1226	990	1429	1435	1461	2543	2307	Agua
773	33.90203168129771	35.50955115843271	878	170	0	0	33	92	85	1534	1429	Agua
773	33.90203168129771	35.50964104940375	1003	203	0	0	7	92	66	1540	1429	Agua
695	33.90203168129771	35.50973094037479	878	26	0	0	0	85	26	1527	1416	Agua
655	33.90203168129771	35.50982083134583	754	0	0	0	0	46	33	1527	1416	Agua
668	33.90203168129771	35.50991072231687	701	33	0	0	0	0	111	1534	1435	Agua
754	33.90203168129771	35.5100006132879	819	131	0	0	13	0	236	1573	1488	Agua
917	33.90203168129771	35.51009050425894	1108	275	98	0	183	223	380	1684	1612	Agua
1127	33.90203168129771	35.51018039522998	1173	472	334	256	459	400	557	1855	1796	Agua
1160	33.90203168129771	35.51027028620102	1586	773	616	550	786	668	813	2071	1979	Agua
1973	33.90203168129771	35.51036017717206	2005	1442	990	839	1212	1160	1193	2359	2182	Agua
2379	33.90203168129771	35.5104500681431	2300	1704	1298	1062	1553	1520	1507	2602	2353	Agua
2136	33.90203168129771	35.51053995911414	2438	1514	1442	1134	1625	1560	1612	2707	2444	Agua
695	33.90195720419847	35.50946126746167	826	66	0	0	20	13	111	1481	1409	Agua
714	33.90195720419847	35.50955115843271	826	131	0	0	7	52	72	1527	1448	Agua
734	33.90195720419847	35.50964104940375	996	138	0	0	0	59	46	1534	1448	Agua
668	33.90195720419847	35.50973094037479	872	33	0	0	0	52	26	1514	1422	Agua
695	33.90195720419847	35.50982083134583	741	0	0	0	0	13	59	1520	1422	Agua
649	33.90195720419847	35.50991072231687	714	0	0	0	0	0	170	1553	1448	Agua
636	33.90195720419847	35.5100006132879	839	151	0	0	98	0	321	1619	1520	Agua
878	33.90195720419847	35.51009050425894	1127	360	177	13	308	249	498	1763	1665	Agua
1258	33.90195720419847	35.51018039522998	1481	570	452	360	616	603	695	1966	1868	Agua
1612	33.90195720419847	35.51027028620102	1809	944	741	655	944	944	957	2189	2064	Agua
2038	33.90195720419847	35.51036017717206	2058	1527	1075	911	1343	1258	1324	2458	2261	Agua
2202	33.90195720419847	35.5104500681431	2281	1724	1350	1101	1632	1448	1606	2687	2431	Agua
2104	33.90195720419847	35.51053995911414	2425	1566	1422	1134	1579	1448	1573	2766	2497	Agua
655	33.901882727099235	35.50946126746167	780	33	0	0	0	33	138	1475	1429	Agua
636	33.901882727099235	35.50955115843271	819	111	0	0	0	13	79	1520	1475	Agua
668	33.901882727099235	35.50964104940375	917	66	0	0	0	26	59	1534	1481	Agua
655	33.901882727099235	35.50973094037479	754	0	0	0	0	13	66	1507	1442	Agua
701	33.901882727099235	35.50982083134583	701	0	0	0	0	0	131	1527	1442	Agua
629	33.901882727099235	35.50991072231687	793	0	0	0	79	0	269	1593	1488	Agua
642	33.901882727099235	35.5100006132879	917	170	72	0	236	0	446	1697	1573	Agua
1016	33.901882727099235	35.51009050425894	1081	433	301	131	472	367	636	1868	1730	Agua
1527	33.901882727099235	35.51018039522998	1619	695	590	459	773	852	845	2084	1933	Agua
1835	33.901882727099235	35.51027028620102	1881	1075	852	721	1062	1140	1088	2300	2123	Agua
1920	33.901882727099235	35.51036017717206	2051	1422	1094	904	1383	1245	1409	2523	2300	Agua
2084	33.901882727099235	35.5104500681431	2156	1553	1278	1042	1586	1357	1619	2713	2458	Agua
2163	33.901882727099235	35.51053995911414	2209	1520	1252	1049	1383	1416	1409	2752	2490	Agua
616	33.901808249999995	35.50937137649063	708	0	0	0	33	59	190	1475	1402	Agua
754	33.901808249999995	35.50946126746167	780	52	0	0	20	105	144	1507	1455	Agua
741	33.901808249999995	35.50955115843271	826	118	0	0	0	118	92	1553	1507	Agua
668	33.901808249999995	35.50964104940375	760	46	0	0	0	92	79	1553	1507	Agua
695	33.901808249999995	35.50973094037479	590	33	0	0	0	0	98	1527	1461	Agua
695	33.901808249999995	35.50982083134583	649	0	0	0	0	0	183	1553	1468	Agua
688	33.901808249999995	35.50991072231687	786	39	20	0	177	39	354	1651	1560	Agua
839	33.901808249999995	35.5100006132879	996	282	216	26	400	177	557	1789	1678	Agua
1252	33.901808249999995	35.51009050425894	1370	544	433	269	629	537	741	1959	1815	Agua
1776	33.901808249999995	35.51018039522998	1848	911	688	544	872	1068	931	2163	1986	Agua
1776	33.901808249999995	35.51027028620102	1901	1193	891	741	1108	1193	1134	2353	2143	Agua
1730	33.901808249999995	35.51036017717206	2025	1265	1042	845	1343	1180	1389	2536	2294	Agua
1953	33.901808249999995	35.5104500681431	2117	1343	1167	944	1488	1226	1540	2693	2438	Agua
2123	33.901808249999995	35.51053995911414	2123	1416	1127	963	1232	1258	1239	2674	2444	Agua
623	33.90173377290076	35.50937137649063	786	59	0	0	85	138	170	1534	1448	Agua
760	33.90173377290076	35.50946126746167	891	105	26	0	72	223	151	1573	1494	Agua
839	33.90173377290076	35.50955115843271	845	151	33	0	33	190	125	1606	1540	Agua
773	33.90173377290076	35.50964104940375	813	66	0	0	0	131	118	1606	1534	Agua
682	33.90173377290076	35.50973094037479	609	46	0	0	0	0	131	1579	1481	Agua
668	33.90173377290076	35.50982083134583	655	7	0	0	33	0	229	1612	1514	Agua
760	33.90173377290076	35.50991072231687	852	183	177	0	308	170	446	1737	1665	Agua
1035	33.90173377290076	35.5100006132879	1186	459	413	242	603	439	675	1894	1835	Agua
1435	33.90173377290076	35.51009050425894	1625	721	590	439	786	806	832	2045	1940	Agua
1684	33.90173377290076	35.51018039522998	1966	1101	747	603	924	1147	957	2202	2025	Agua
1422	33.90173377290076	35.51027028620102	1881	1147	859	708	1062	1121	1088	2353	2123	Agua
1566	33.90173377290076	35.51036017717206	1940	1081	898	708	1199	1029	1239	2497	2235	Agua
1796	33.90173377290076	35.5104500681431	2058	1147	983	773	1304	1055	1337	2621	2359	Agua
1959	33.90173377290076	35.51053995911414	2077	1284	1062	898	1108	1147	1049	2503	2353	Agua
583	33.90165929580152	35.50928148551959	701	111	0	0	66	79	144	1540	1435	Agua
688	33.90165929580152	35.50937137649063	904	125	33	0	125	223	170	1579	1481	Agua
747	33.90165929580152	35.50946126746167	1035	131	52	0	98	249	157	1599	1520	Agua
754	33.90165929580152	35.50955115843271	944	151	39	0	39	144	138	1619	1547	Agua
701	33.90165929580152	35.50964104940375	767	85	20	0	7	111	151	1625	1547	Agua
668	33.90165929580152	35.50973094037479	603	79	0	0	0	0	170	1612	1514	Agua
655	33.90165929580152	35.50982083134583	682	118	59	0	92	131	282	1665	1566	Agua
891	33.90165929580152	35.50991072231687	1003	380	321	92	433	354	537	1815	1763	Agua
1330	33.90165929580152	35.5100006132879	1429	806	583	406	767	649	786	1979	1959	Agua
1697	33.90165929580152	35.51009050425894	1769	1114	708	557	891	944	898	2104	2025	Agua
1658	33.90165929580152	35.51018039522998	1881	1062	754	623	917	1009	937	2209	2038	Agua
1324	33.90165929580152	35.51027028620102	1750	931	786	642	976	963	1003	2320	2091	Agua
1481	33.90165929580152	35.51036017717206	1769	826	767	590	1055	898	1094	2444	2176	Agua
1651	33.90165929580152	35.5104500681431	1874	970	852	642	1147	937	1173	2556	2294	Agua
1828	33.90165929580152	35.51053995911414	1966	1258	1042	859	1062	1140	950	2353	2274	Agua
649	33.90158481870229	35.50928148551959	891	197	26	0	151	229	197	1579	1494	Agua
695	33.90158481870229	35.50937137649063	963	144	66	0	144	282	203	1586	1507	Agua
721	33.90158481870229	35.50946126746167	976	85	33	0	72	197	164	1579	1514	Agua
695	33.90158481870229	35.50955115843271	917	66	0	0	0	66	131	1573	1520	Agua
629	33.90158481870229	35.50964104940375	747	59	0	0	0	79	151	1593	1540	Agua
623	33.90158481870229	35.50973094037479	682	105	20	0	20	138	216	1625	1560	Agua
708	33.90158481870229	35.50982083134583	839	223	151	0	177	328	360	1717	1645	Agua
